ASSEMBLY_RUN,SAMPLE_NAME,ct_modified,Prefilt_reads,set,ASSEMBLY_QUALITY
FAP71825_01,PV44834,16.995741154999997,5222,ALL,Passed
FAP71825_01,PV44835,21.312316255,2814,ALL,Passed
FAP71825_01,PV44837,22.98626005,1885,ALL,Passed
FAP71825_01,PV44838,24.91471627,580,ALL,Passed
FAP71825_01,PV44839,19.280801265,2547,ALL,Passed
FAP71825_01,PV44840,NA,1752,ALL,Passed
FAP71825_01,PV44841,17.633820645,1501,ALL,Passed
FAP71825_01,PV44844,NA,2167,ALL,Passed
FAP71825_01,PV44846,NA,3093,ALL,Passed
FAP71825_01,PV44847,NA,1509,ALL,Passed
FAP71825_01,PV44848,NA,256,BM,Passed
FAP71825_01,PV44849,NA,2053,ALL,Passed
FAP71825_01,PV44853,NA,2837,ALL,Passed
FAP71825_01,PV44855,26.06046064,548,ALL,Passed
FAP71825_01,PV44856,19.352259475,2151,ALL,Passed
FAP71825_01,PV44857,20.125423435000002,1478,ALL,Passed
FAP71825_01,PV44858,25.86798427,2270,BM,Passed
FAP71825_01,PV44860,20.56378522,3304,ALL,Passed
FAP71825_01,PV44861,28.462407615,1705,ALL,Passed
FAP71825_01,PV44862,22.17895008,2547,ALL,Passed
FAP71825_01,PV44863,20.859122919999997,2009,ALL,Passed
FAP71825_01,PV44864,31.22299669,636,ALL,Passed
FAP72115_01,PV44867,NA,1516,ALL,Passed
FAP72115_01,PV44868,NA,5856,BM,Passed
FAP72115_01,PV44870,28.01449943,7826,ALL,Passed
FAP72115_01,PV44871,NA,1287,ALL,Passed
FAP72115_01,PV44872,14.121613289999999,9787,BM,Passed
FAP72115_01,PV44873,NA,3519,BM,Passed
FAR95226_01,PV44873_P2,NA,7809,BM,Passed
FAP72115_01,PV44874,NA,4732,BM,Passed
FAR95226_01,PV44874_P2,NA,5749,BM,Passed
FAP72115_01,PV44875,19.13227945,7729,ALL,Passed
FAP72115_01,PV44876,26.269922475,1444,ALL,Passed
FAP72115_01,PV44877,26.44295003,5513,BM,Passed
FAP72115_01,PV44878,24.709069615,2489,ALL,Passed
FAP72115_01,PV44879,22.961621475,2819,ALL,Passed
FAP72115_01,PV44884,33.945649095,370,ALL,Passed
FAP72115_01,PV44885,20.478750785,3701,BM,Passed
FAP72115_01,PV44886,NA,3770,BM,Passed
FAP72115_01,PV44887,NA,580,BM,Passed
FAP72115_01,PV44888,19.90293325,4483,BM,Passed
FAP72115_01,PV44889,29.741417565,2776,BM,Passed
FAP72115_01,PV44890,17.56173394,5179,ALL,Passed
FAP72115_01,PV44891,25.66888831,6913,ALL,Passed
FAP72115_01,PV44892,NA,2601,BM,Passed
FAP72115_01,PV44893,27.394012500000002,3912,ALL,Passed
FAP72115_01,PV44895,17.04629063,3307,ALL,Passed
FAP72115_01,PV44896,NA,4288,BM,Passed
FAP72115_01,PV44898,NA,8096,BM,Passed
FAR95226_01,PV44898_P2,NA,4991,BM,Passed
FAP72115_01,PV44899,23.032573365,6965,ALL,Passed
FAP72115_01,PV44900,NA,6465,ALL,Passed
FAP72115_01,PV44901,22.1457203,8984,ALL,Passed
FAP72115_01,PV44902,20.251078015,7014,ALL,Passed
FAP72115_01,PV44903,24.576818505,7569,ALL,Passed
FAP72115_01,PV44904,NA,4044,ALL,Passed
FAP72115_01,PV44979,NA,532,BM,Failed
FAP72115_01,PV44982,19.17164778,2976,ALL,Passed
FAP72115_01,PV44984,21.18174224,927,BM,Passed
FAP72115_01,PV44989,23.359036879999998,2605,BM,Passed
FAP72115_01,PV44991,NA,2298,ALL,Passed
FAP72115_01,PV44992,NA,6444,ALL,Passed
FAP72115_01,PV44993,NA,3124,ALL,Passed
FAP72115_01,PV44994,NA,5122,ALL,Passed
FAP72115_01,PV44995,20.00764105,2585,ALL,Passed
FAP72115_01,PV44996,20.114047130000003,7028,ALL,Passed
FAP72115_01,PV44997,21.261923985000003,4198,ALL,Passed
FAP72115_01,PV44999,NA,1648,BM,Passed
FAP72115_01,PV45000,27.917016115000003,1481,BM,Passed
FAP72115_01,PV45001,NA,7085,ALL,Passed
FAP72115_01,PV45002,17.572910905,5950,BM,Passed
FAP72115_01,PV45005,26.420412714999998,2662,BM,Passed
