clade_who,lineage_display.final,ASSEMBLY_PIPELINE,week,n,Frequency
Alpha,B.1.1.7,WGS,2021-02-28,29,0.15846994535519127
Alpha,B.1.1.7,WGS,2021-08-08,1,0.006535947712418301
Alpha,B.1.1.7,WGS,2021-05-30,10,0.2857142857142857
Alpha,B.1.1.7,WGS,2021-04-11,74,0.4
Alpha,B.1.1.7,WGS,2021-07-25,1,0.009433962264150943
Alpha,B.1.1.7,WGS,2021-01-31,3,0.03896103896103896
Alpha,B.1.1.7,WGS,2021-06-06,7,0.2916666666666667
Alpha,B.1.1.7,WGS,2021-05-02,39,0.3979591836734694
Ancestral,A,WGS,2021-11-07,1,0.015625
Ancestral,A,WGS,2021-03-07,1,0.006369426751592357
Ancestral,A,WGS,2021-05-30,1,0.02857142857142857
Ancestral,A,WGS,2020-04-19,1,0.3333333333333333
Ancestral,A,WGS,2021-07-18,2,0.024096385542168676
Ancestral,A,WGS,2020-03-15,2,0.07142857142857142
Ancestral,A,WGS,2021-08-15,1,0.005555555555555556
Ancestral,A,WGS,2021-05-16,1,0.022727272727272728
Ancestral,A,WGS,2021-04-25,1,0.011111111111111112
